year,state,so2,no2,pm2_5,AQI
2012,West Bengal,41.41406728,54.67385321,64.890625,206.6307339
2013,Delhi,4.487084871,89.73431734,95.11320755,244.5943629
2013,Gujarat,12.75228526,18.74784668,30.72969596,80.34809288
2013,Haryana,12.16814159,25.92035398,48.4771405,112.2468068
2013,Kerala,3.858992537,11.36108209,48.4771405,83.66128061
2013,Maharashtra,16.61578294,31.83788936,48.4771405,125.2032777
2013,Tamil Nadu,11.80142794,21.6938657,29.55044053,81.26970442
2013,West Bengal,10.45410413,63.8112098,64.890625,179.3524757
2014,Delhi,5.137174211,63.49245542,95.11320755,212.6046471
2014,Gujarat,14.25557028,20.13089705,30.4663134,83.60483535
2014,Haryana,13.11061947,24.34955752,48.4771405,111.4614085
2014,Kerala,4.168224299,12.57568296,48.4771405,85.5660714
2014,Maharashtra,18.14486493,35.74567359,48.4771405,131.9993605
2014,Tamil Nadu,11.50241976,22.13435763,29.55044053,81.44655911
2014,West Bengal,8.079358685,57.61696252,64.890625,168.6412348
2015,Delhi,5.69298998,67.13288947,95.11320755,217.8499594
2015,Gujarat,14.37155998,20.8946028,31.05155384,85.48477527
2015,Haryana,15.29487179,72.85897436,48.4771405,174.828495
2015,Kerala,3.933552391,14.27747353,48.4771405,87.39996973
2015,Maharashtra,16.11871457,34.21482686,48.4771405,127.5531141
2015,Tamil Nadu,10.6623014,21.32929194,29.55044053,79.39007905
2015,West Bengal,7.430621289,45.98499404,64.890625,153.2903525
2016,Maharashtra,70.95348837,23.39574468,83.13636364,304.1900407
2017,Maharashtra,50.63428571,27.3372093,78.59770115,201.4743394
2018,Maharashtra,56.5264624,42.58950617,77.07042254,220.5989418
2019,Maharashtra,48.07458564,41.19337017,72.59116022,208.1854167
2020,Maharashtra,47.17355372,30.74380165,95.98347107,225.8130252
2018,Delhi,8.14893617,15.95757576,193.1402985,286.6591847
2019,Delhi,5.897790055,14.96961326,189.7596685,278.469213
2020,Delhi,4.144067797,8.427419355,185.8145161,264.3340395
2017,Kerala,1.666666667,3.708333333,118.8888889,165.1018519
2018,Kerala,3.170868347,4.443820225,89.74647887,128.8134579
2019,Kerala,3.803827751,2.763157895,77.72910663,132.7139303
2020,Kerala,6.209677419,6.639344262,82.368,126.9945355
2016,Gujarat,23.89772727,20.52272727,177.816092,295.1205357
2017,Gujarat,43.3125,43.33125,179.8,350.6590909
2018,Gujarat,53.03738318,51.86915888,172.8130841,363.7316667
2019,Gujarat,31.9002849,40.37359551,136.0140449,270.6337656
2020,Gujarat,20.7016129,15.00806452,121.016,206.561828
2016,Tamil Nadu,6.191693291,9.611987382,144.3042169,213.7707622
2017,Tamil Nadu,7.033613445,11.9719888,138.6871508,209.3380548
2018,Tamil Nadu,6.044692737,8.863128492,133.301676,195.875118
2019,Tamil Nadu,5.861290323,9.485530547,124.283871,184.7542808
2020,Tamil Nadu,7.333333333,6.355371901,96.752,147.6887052
2016,Haryana,5.45625,10.49469965,197.7893175,269.769697
2017,Haryana,4.739811912,12.61959654,181.9595376,271.7788671
2018,Haryana,4.231343284,16.33898305,204.9270073,356.7978395
2019,Haryana,10.81493506,12.24855491,160.7861272,245.9931015
2020,Haryana,9.68852459,10.56910569,150.0967742,226.7650273
2017,West Bengal,7.381009791,20.19770013,155.1111111,241.2882022
2018,West Bengal,8.389762824,22.16377354,167.0032441,260.8629126
2019,West Bengal,5.14331177,22.15708943,156.7630058,243.1428425
2020,West Bengal,8.503205701,21.38255625,137.3629032,220.5077401
