date,state,pm2_5,pm10,o3,no2,so2,co
10/8/2019,gujrat,152,125,65,81,54,25
10/9/2019,gujrat,178,120,59,80,55,39
10/10/2019,gujrat,190,99,66,84,56,34
10/11/2019,gujrat,141,129,40,93,62,24
10/12/2019,gujrat,185,191,11,79, , 
10/13/2019,gujrat,245,166,30,76,62,11
10/14/2019,gujrat,168,130,44,84,59,32
10/15/2019,gujrat,165,121,73,83,55,21
10/16/2019,gujrat,169,112,43,87,51,30
10/17/2019,gujrat,174,110,56,85, ,19
10/18/2019,gujrat,182,100,62,74,41,7
10/19/2019,gujrat,167,87,57,71,43,6
10/20/2019,gujrat,167,82,79,56,44,3
10/21/2019,gujrat,163,87,84,50,45,4
10/22/2019,gujrat,166,64,66,53,47,4
10/23/2019,gujrat,125,76,85,60,47,5
10/24/2019,gujrat,130,97,75,76,53,7
10/25/2019,gujrat,161,77,91,40,38,3
10/26/2019,gujrat,146,63,63,33,48,5
10/27/2019,gujrat,141,104,30,31,44,3
10/28/2019,gujrat,146,69,30,28,44,2
10/29/2019,gujrat,101,43,32,34,52,11
10/30/2019,gujrat,57,90,40,53,49,13
10/31/2019,gujrat,127,95,34,52,53,9
11/1/2019,gujrat,145,78,22,40,49,9
11/2/2019,gujrat,110,56,24,49,53,11
11/3/2019,gujrat,94,79,60,77,53,8
11/4/2019,gujrat,153,88,46,85,55,10
11/5/2019,gujrat,164,108,70,77,46,8
11/6/2019,gujrat,181,61,34,74,59,10
11/7/2019,gujrat,134,69,19,68,62,8
11/8/2019,gujrat,149,76,28,69,61,10
11/9/2019,gujrat,132,89,27,66,61,9
11/10/2019,gujrat,156,108,28,80, ,13
11/11/2019,gujrat,165,142,28,100, ,12
11/12/2019,gujrat,169,107,21,89, ,12
11/13/2019,gujrat,169,81,17,84,59,9
11/14/2019,gujrat,132,70,6,54,57,11
11/15/2019,gujrat,115,86,7,64,60,11
11/16/2019,gujrat,159,62,6,60,56,15
11/17/2019,gujrat,146,70,6,68,58,16
11/18/2019,gujrat,143,65,7,52,61,6
11/19/2019,gujrat,133,69,7,45,67,14
11/20/2019,gujrat,115,68,6,51,59,7
11/21/2019,gujrat,135,70,7,46,74,8
11/22/2019,gujrat,140,75,6,50,55,6
11/23/2019,gujrat,144,72,7,46,55,8
11/24/2019,gujrat,147,77,6,52,53,11
11/25/2019,gujrat,161,73,36,43,57,9
11/26/2019,gujrat,145,75,32,45,58,6
11/27/2019,gujrat,136,65,25,59,66,9
11/28/2019,gujrat,106,66,27,48,77,9
11/29/2019,gujrat,132,66,22,40,61,9
11/30/2019,gujrat,129,62,23,38,55,6
12/1/2019,gujrat,119,61,24,27,51,5
12/2/2019,gujrat,128,61,26,24,54,6
12/3/2019,gujrat,128,70,23,28,45,5
12/4/2019,gujrat,138,78,22,35,26,5
12/5/2019,gujrat,149,84,22,32,16,4
12/6/2019,gujrat,151,106,28,42,14,5
12/7/2019,gujrat,173,90,28,37,15,6
12/8/2019,gujrat,170,85,32,23,19,5
12/9/2019,gujrat,162,94,23,15,25,7
12/10/2019,gujrat,166,83,24,10,25,9
12/11/2019,gujrat,154,78,15,6,30,2
12/12/2019,gujrat,139,69,13,5,11,2
12/13/2019,gujrat,128,72,14,6,12,2
12/14/2019,gujrat,147,66,15,4,7,1
12/15/2019,gujrat,122,68,21,9,9,3
12/16/2019,gujrat,117,73,15,11,12,3
12/17/2019,gujrat,133,82,13,12,14,6
12/18/2019,gujrat,156,109,9,12,19,10
12/19/2019,gujrat,174,98,7,11,16,2
12/20/2019,gujrat,169,75,5,16,35,7
12/21/2019,gujrat,135,74,4,7,17,3
12/22/2019,gujrat,150,71,3,8,29,7
12/23/2019,gujrat,148,70,2,9,33,9
12/24/2019,gujrat,133,72,3,9,31,7
12/25/2019,gujrat,138,70,9,15,24,6
12/26/2019,gujrat,136,60,8,22,26,5
12/27/2019,gujrat,102,60,9,17,32,6
12/28/2019,gujrat,111,69,9,20,23,8
12/29/2019,gujrat,130, , , , , 
7/1/2019,gujrat,118,80,45,52,24,13
7/2/2019,gujrat,118,70,30,49,24,14
7/3/2019,gujrat,119,74,15,68,22,16
7/4/2019,gujrat,124,81,15,49,17,15
7/5/2019,gujrat,128,73,13,79,20,15
7/6/2019,gujrat,124,62,36,64,16,13
7/7/2019,gujrat,100,79,20,52,16,14
7/8/2019,gujrat,107,83,20,61,15,13
7/9/2019,gujrat,116,87,25,73,16,12
7/10/2019,gujrat,122,81,18,48,40,12
7/11/2019,gujrat,118,77,21,49,41,12
7/12/2019,gujrat,114,73,22,54,44,13
7/13/2019,gujrat,108,78,31,46,45,11
7/14/2019,gujrat,116,81,22,53,56,11
7/15/2019,gujrat,116,80,20,47,59,13
7/16/2019,gujrat,109,80,22,50,52,13
7/17/2019,gujrat,100,75,29,48,54,14
7/18/2019,gujrat,94,83,46,62,47,14
7/19/2019,gujrat,123,88,42,67,47,14
7/20/2019,gujrat,134,75,51,72,41,16
7/21/2019,gujrat,128,64,78,54,27,16
7/22/2019,gujrat,106,124,41,75,17,17
7/23/2019,gujrat,160,109,43,46,23,19
7/24/2019,gujrat,129,106,20,72,25,15
7/25/2019,gujrat,129,72,27,14,28, 
7/26/2019,gujrat,124,72,30,19,46, 
7/27/2019,gujrat,111,73,30,14,42, 
7/28/2019,gujrat,115,119,50,19,35, 
7/29/2019,gujrat,115, ,24,14,32,12
7/30/2019,gujrat,114, ,22,23,27,7
7/31/2019,gujrat,87,78,17,10,25,13
8/1/2019,gujrat,120,92,25,21,26,13
8/2/2019,gujrat,143,82,22,13,21,11
8/3/2019,gujrat,123,76,29,17,20,11
8/4/2019,gujrat,104,99,31,14,21,12
8/5/2019,gujrat,116,113,36,25,19,13
8/6/2019,gujrat,130,122,20,13,20,12
8/7/2019,gujrat,147,120,26,22,20,13
8/8/2019,gujrat,133,71,26,33,21,12
8/9/2019,gujrat,114,43,20,18,23,12
8/10/2019,gujrat,71,70,21,18,20,11
8/11/2019,gujrat,105,103,29,22,21,10
8/12/2019,gujrat,126,110,38,22,18,9
8/13/2019,gujrat,116,115,31,16,20,10
8/14/2019,gujrat,128,81,22,23,20,12
8/15/2019,gujrat,122,60,25,20,21,11
8/16/2019,gujrat,84,94,32,19,20,13
8/17/2019,gujrat,113,90,39,32,18,9
8/18/2019,gujrat,119,115,31,28,13,5
8/19/2019,gujrat,109,92,45,23,23,9
8/20/2019,gujrat,122,98,54,26,20,10
8/21/2019,gujrat,102,118,52,30,22,9
8/22/2019,gujrat,117,114,46,24,26,8
8/23/2019,gujrat,124,94,60,25,19,8
8/24/2019,gujrat,113,83,54,26,20,9
8/25/2019,gujrat,89,105,18,26,28,13
8/26/2019,gujrat,115,94,16,16,22,15
8/27/2019,gujrat,148,66,45,21,20,11
8/28/2019,gujrat,103,69,21,21,30,9
8/29/2019,gujrat,108,82,26,19,25,8
8/30/2019,gujrat,112,78,27,22,23,6
8/31/2019,gujrat,104,66,37,22,24,6
9/1/2019,gujrat,92,56,32,24,24,8
9/2/2019,gujrat,79,64,35,22,25,8
9/3/2019,gujrat,112,65,62,28,24,8
9/4/2019,gujrat,107,54,64,38,25,11
9/5/2019,gujrat,115,60,81,37,25,9
9/6/2019,gujrat,130,61,35,24,24,6
9/7/2019,gujrat,100,51,48,22,22,6
9/8/2019,gujrat,95,55,50,28,27,9
